Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;9-CL-16-SE;9CL  0016  SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-18-SE;9CL  0018  SE;CASTANHAL;Petrobras;480000038489787;2020/12;4,1957;0,0000;4,1957;0,0067;0,0000;0,0067;0,20663;14,9616;Castanhal;INSTALACAO EMB/DESEMB;742;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-19-SE;9CL  0019  SE;CASTANHAL;Petrobras;480000038489787;2020/12;5,1349;0,0000;5,1349;0,0082;0,0000;0,0082;0,25299;10,2090;Castanhal;INSTALACAO EMB/DESEMB;743;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-21-SE;9CL  0021  SE;CASTANHAL;Petrobras;480000038489787;2020/12;2,8008;0,0000;2,8008;0,0044;0,0000;0,0044;0,13792;21,7386;Castanhal;INSTALACAO EMB/DESEMB;743;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;9-CL-23-SE;9CL  0023  SE;CASTANHAL;Petrobras;480000038489787;2020/12;4,6660;0,0000;4,6660;0,0074;0,0000;0,0074;0,22989;13,1110;Castanhal;INSTALACAO EMB/DESEMB;742;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Sergipe;Sergipe;8-CL-53-SE;8CL53SE;CASTANHAL;Petrobras;480000038489787;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;86,14;0,07;0,02;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;1,11;12,62;2,1316;543,77889;32546,2454;07/03/2021
Bahia;Recôncavo;7-DJ-41-BA;7DJ  0041  BA;DOM JOÃO MAR;Petrobras;480000036449737;2020/12;5,3945;0,0000;5,3945;0,0069;0,0000;0,0069;0,21256;19,6162;Ponto de Coleta área do DJ-41;INSTALACAO EMB/DESEMB;636;2020/02;Baiano Mistura;36,5;< 210ºC;20.22%;210ºC a 500ºC;49.58%;> 500ºC;30.2%;80,98;6,59;3,62;1,5;1,8;0,72;0,66;0,51;0,17;0,12;0;0;0;0;1,44;1,89;2,11655;542,00821;38425,3348;07/03/2021
Bahia;Recôncavo;7-DJ-789H-BA;7DJ789HBA;DOM JOÃO MAR;Petrobras;480000036459708;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2020/02;Baiano Mistura;36,5;< 210ºC;20.22%;210ºC a 500ºC;49.58%;> 500ºC;30.2%;80,98;6,59;3,62;1,5;1,8;0,72;0,66;0,51;0,17;0,12;0;0;0;0;1,44;1,89;2,11655;542,00821;38425,3348;07/03/2021
Bahia;Recôncavo;9-DJM-806H-BA;9DJ806HBA;DOM JOÃO MAR;Petrobras;480000036459708;2020/12;6,8581;0,0000;6,8581;0,0087;0,0000;0,0087;0,27027;51,0877;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;625;2020/02;Baiano Mistura;36,5;< 210ºC;20.22%;210ºC a 500ºC;49.58%;> 500ºC;30.2%;80,98;6,59;3,62;1,5;1,8;0,72;0,66;0,51;0,17;0,12;0;0;0;0;1,44;1,89;2,11655;542,00821;38425,3348;07/03/2021
Rio Grande do Norte;Potiguar;7-ARG-786D-RN;7ARG786DRN;ALTO DO RODRIGUES;Petrobras;480000037849704;2020/12;9,7886;0,0000;9,7886;0,0061;0,0000;0,0061;0,18800;48,4766;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/03/2021
