ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 03/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 17 (Oracle 11g);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)"
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Espírito Santo;Espírito Santo;1-BRSA-421-ES;1CJA1ES;TABUIAIÁ;Petrobras;486100079862004;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2019/05;Espírito Santo;19,6;< 290ºC;20,10%;290ºC a 380ºC;14,50%;> 380ºC;65,40%;90,07;0,53;0,14;0,05;0,03;0,01;0,01;0,01;0;0;0;0;0;0;9,13;0,02;2,048856;533,912644;34399,9087
Espírito Santo;Espírito Santo;1-BRSA-42-ES;1QUA1ES;CREJOÁ;Central Resources;48610007484200600;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta de Crejoá 01 (BRSA-42);INSTALACAO EMB/DESEMB;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;1-BRSA-452-RN;1LL2RN;ESTREITO;Petrobras;480000037939797;2019/11;2,2497;0,0000;2,2497;0,0014;0,0000;0,0014;0,04281;26,2891;Ponto de Coleta Lagoa da Lage 2 (LL2) Estreito;INSTALACAO EMB/DESEMB;720;2019/09;RGN Mistura;25,5;< 290ºC;24,40%;290ºC a 380ºC;14,59%;> 380ºC;61,01%;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;1-BRSA-453-RN;1LL1RN;ESTREITO;Petrobras;480000037939797;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2019/09;RGN Mistura;25,5;< 290ºC;24,40%;290ºC a 380ºC;14,59%;> 380ºC;61,01%;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;1-BRSA-456-RN;1RC5RN;TRINCA FERRO;Potiguar;486100080012004;2019/11;4,2901;0,0000;4,2901;1,1365;0,0000;1,1365;33,26844;6,4875;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;667;2019/09;RGN Mistura;25,5;< 290ºC;24,40%;290ºC a 380ºC;14,59%;> 380ºC;61,01%;85,764;4,254;2,918;0,632;0,934;0,3;0,382;0,388;0,41;0,271;0,118;0,045;0;0,012;3,205;0,367;2,04324;533,179379;37586,6477
Espírito Santo;Espírito Santo;1-BRSA-45-ES;1MOE1ES;CREJOÁ;Central Resources;48610007484200600;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta de Crejoá 02 (BRSA-45);INSTALACAO EMB/DESEMB;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Espírito Santo;1-BRSA-461-ES;1MIL1ES;JACUTINGA;Petrobras;486100094922003;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2019/05;Espírito Santo;19,6;< 290ºC;20,10%;290ºC a 380ºC;14,50%;> 380ºC;65,40%;;;;;;;;;;;;;;;;;;;
Espírito Santo;Espírito Santo;1-BRSA-463-ES;1BRA1ES;BIGUÁ;Petrobras;486100079842004;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2019/05;Espírito Santo;19,6;< 290ºC;20,10%;290ºC a 380ºC;14,50%;> 380ºC;65,40%;94,32;1,33;0,72;0,2;0,16;0,07;0,05;0,04;0,02;0,01;0;0;0;0;2,78;0,3;2,031504;531,820141;36920,4014
Bahia;Recôncavo;1-BRSA-470D-BA;1HBV1DBA;GUANAMBI;Petrobras;486100080172004;2019/11;58,0914;0,0000;58,0914;0,7758;0,0000;0,7758;23,27392;12,8522;Ponto de Coleta Área do HBV-1 (Guanambi);INSTALACAO EMB/DESEMB;682;2015/07;Baiano Mistura;36,5;< 210ºC;20,22%;210ºC a 500ºC;49,58%;> 500ºC;30,20%;74,4;5,54;8,77;2,15;2,88;0,71;0,65;0,33;0,13;0,02;0;0;0;0,03;3,96;0,43;2,049328;533,969948;37710,1375
Alagoas;Alagoas;1-BRSA-510D-AL;1LBO1DAL;SÃO MIGUEL DOS CAMPOS;Petrobras;480000038619745;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,60%;87,106;7,008;2,132;0,35;0,554;0,195;0,204;0,253;0,054;0,094;0,017;0,01;0,035;0;1,524;0,465;2,011739;529,423993;39018,8641
Alagoas;Alagoas;1-BRSA-513D-AL;1FRO4DAL;ANAMBÉ;Petrobras;486100038922000;2019/11;0,0000;0,0000;0,0000;0,0000;7,8425;7,8425;235,07550;0,0000;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;720;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,60%;85,44;7,66;2,66;0,39;0,8;0,21;0,27;0,22;0,04;0,07;0,01;0,04;0,02;0;1,72;0,45;2,017825;530,166281;39158,4001
