Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;6-BRSA-517-RJS;6MLS122RJS;MARLIM SUL;Petrobras;480000037249774;2020/11;1.713,9479;0,0000;1.713,9479;35,0095;0,0000;35,0095;1.047,40269;45,7523;PETROBRAS 51;UEP;534;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MRL-188HA-RJS;7MRL188HARJS;MARLIM SUL;Petrobras;480000037239710;2020/11;35,3369;0,0000;35,3369;0,5624;0,0000;0,5624;16,82520;72,7395;PETROBRAS 19;UEP;640;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-111HP-RJS;7MLS111HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;1.830,0752;0,0000;1.830,0752;38,9412;0,0000;38,9412;1.165,02981;14.791,1782;PETROBRAS 51;UEP;727;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-115HP-RJS;7MLS115HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;2.959,8464;0,0000;2.959,8464;69,5813;0,0000;69,5813;2.081,71065;14.658,2913;PETROBRAS 51;UEP;727;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;4-RJS-442-RJ;4RJS 0442  RJ;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;6-BRSA-647D-RJS;6MLS146DRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;3-BRSA-653D-RJS;3MLS126DRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;5.352,5187;0,0000;5.352,5187;77,0591;0,0000;77,0591;2.305,42711;21,4961;PETROBRAS 40;UEP;713;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-97HP-RJS;7MLS97HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;9-MRL-201-RJS;9MRL201RJS;MARLIM SUL;Petrobras;480000037239710;2020/11;21,4505;0,0000;21,4505;0,2293;0,0000;0,2293;6,86012;65,4130;PETROBRAS 18;UEP;256;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
Rio de Janeiro;Campos;7-MLS-117HP-RJS;7MLS117HPRJS;MARLIM SUL;Petrobras;480000037249774;2020/11;2.191,2448;0,0000;2.191,2448;40,1504;0,0000;40,1504;1.201,20658;8.774,1520;PETROBRAS 51;UEP;678;2017/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;82,81789;5,86608;4,61211;0,7991;1,73005;0,4216;0,58372;0,49076;0,55695;0,36051;0,20144;0,08195;0;0;0,39757;1,08027;2,04564;533,47727;38989,7302;23/12/2020
